DEPTH,RHOB,spike,flat_line,cycle_skip,washed_out,impossible_value,flag_count,severity,well_name
364.2,0.36610427,False,False,False,False,True,1,YELLOW,F02-1
364.35,0.36625949,False,False,False,False,True,1,YELLOW,F02-1
364.5,0.36641604,False,False,False,False,True,1,YELLOW,F02-1
364.65,0.36657479,False,False,False,False,True,1,YELLOW,F02-1
364.8,0.36673507,False,False,False,False,True,1,YELLOW,F02-1
364.95001221,0.36689541,False,False,False,False,True,1,YELLOW,F02-1
365.1,0.36705375,False,False,False,False,True,1,YELLOW,F02-1
365.25,0.36720932,False,False,False,False,True,1,YELLOW,F02-1
365.4,0.36736256,False,False,False,False,True,1,YELLOW,F02-1
365.54998779,0.36751473,False,False,False,False,True,1,YELLOW,F02-1
365.7,0.36766732,False,False,False,False,True,1,YELLOW,F02-1
365.85,0.36782089,False,False,False,False,True,1,YELLOW,F02-1
366.0,0.36797559,False,False,False,False,True,1,YELLOW,F02-1
366.15,0.36813152,False,False,False,False,True,1,YELLOW,F02-1
366.3,0.36828852,False,False,False,False,True,1,YELLOW,F02-1
366.45001221,0.36844623,False,False,False,False,True,1,YELLOW,F02-1
366.6,0.36860439,False,False,False,False,True,1,YELLOW,F02-1
366.75,0.36876255,False,False,False,False,True,1,YELLOW,F02-1
366.9,0.36892021,False,False,False,False,True,1,YELLOW,F02-1
367.04998779,0.36907685,False,False,False,False,True,1,YELLOW,F02-1
367.2,0.36923239,False,False,False,False,True,1,YELLOW,F02-1
367.35,0.36938775,False,False,False,False,True,1,YELLOW,F02-1
367.5,0.36954358,False,False,False,False,True,1,YELLOW,F02-1
367.65,0.36969969,False,False,False,False,True,1,YELLOW,F02-1
367.8,0.36985597,False,False,False,False,True,1,YELLOW,F02-1
367.95001221,0.37001252,False,False,False,False,True,1,YELLOW,F02-1
368.1,0.37016928,False,False,False,False,True,1,YELLOW,F02-1
368.25,0.37032682,False,False,False,False,True,1,YELLOW,F02-1
368.4,0.37048504,False,False,False,False,True,1,YELLOW,F02-1
368.54998779,0.37064275,False,False,False,False,True,1,YELLOW,F02-1
368.7,0.37079963,False,False,False,False,True,1,YELLOW,F02-1
368.85,0.37095594,False,False,False,False,True,1,YELLOW,F02-1
369.0,0.37111226,False,False,False,False,True,1,YELLOW,F02-1
369.15,0.37126935,False,False,False,False,True,1,YELLOW,F02-1
369.3,0.37142816,False,False,False,False,True,1,YELLOW,F02-1
369.45001221,0.37158817,False,False,False,False,True,1,YELLOW,F02-1
369.6,0.37174839,False,False,False,False,True,1,YELLOW,F02-1
369.75,0.37190866,False,False,False,False,True,1,YELLOW,F02-1
369.9,0.37206876,False,False,False,False,True,1,YELLOW,F02-1
370.04998779,0.37222821,False,False,False,False,True,1,YELLOW,F02-1
370.2,0.3723864,False,False,False,False,True,1,YELLOW,F02-1
370.35,0.37254357,False,False,False,False,True,1,YELLOW,F02-1
370.5,0.3727009,False,False,False,False,True,1,YELLOW,F02-1
370.65,0.37285906,False,False,False,False,True,1,YELLOW,F02-1
